"Id","Designator","Package","Quantity","Designation","Supplier and ref",
1,"U1","SOT-223",1,"Reg 3.3V",,,
2,"C1","CP_Radial_D5.0mm_P2.50mm",1,"10Î¼F",,,
3,"D1","LED_D3.0mm",1,"Red",,,
4,"D2","LED_D3.0mm",1,"Green",,,
5,"J2","Socket_Strip_Straight_1x03_Pitch2.54mm",1,"PIR Sensor 2",,,
6,"J3","Socket_Strip_Straight_1x03_Pitch2.54mm",1,"PIR Sensor 1",,,
7,"J4","Socket_Strip_Straight_1x04_Pitch2.54mm",1,"PROG Header",,,
8,"J5","Socket_Strip_Straight_1x03_Pitch2.54mm",1,"Light Sensor",,,
9,"J6","AK300-4",1,"Power IN/OUT 12V",,,
10,"Q1","SOT-23_Handsoldering",1,"IRLML2502",,,
11,"R3","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",1,"47",,,
12,"R4","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",1,"27",,,
13,"SW1","SW_PUSH_6mm_h5mm",1,"Manual ON/OFF",,,
14,"U2","DIP-20_W7.62mm_Socket",1,"MSP430G2553IN20",,,
15,"C2","C_Rect_L7.0mm_W2.5mm_P5.00mm",1,"100nF",,,
